,flash_id,lat,lon,flash_radiance,flash_time_loc,no2_delta_time,no2_val,qa_val
40189,617.0,49.990746,-101.663162,10764.0,2022-07-16 06:46:16 -0400,,,
413297,1300.0,49.968143,-101.669922,10764.0,2022-07-16 06:46:16 -0400,,,
40189,617.0,49.805138,-100.737816,,,2022-07-16 17:35:41 -0400,6.3546604e-06,100.0
40190,617.0,49.804,-100.82659,,,2022-07-16 17:35:41 -0400,6.130893e-06,100.0
40191,617.0,49.80266,-100.91569,,,2022-07-16 17:35:41 -0400,6.2112404e-06,100.0
40192,617.0,49.801117,-101.00517,,,2022-07-16 17:35:41 -0400,4.998794e-06,100.0
40193,617.0,49.79935,-101.094795,,,2022-07-16 17:35:41 -0400,4.519538e-06,100.0
40194,617.0,49.797363,-101.18489,,,2022-07-16 17:35:41 -0400,4.2516863e-06,100.0
40195,617.0,49.79514,-101.27526,,,2022-07-16 17:35:41 -0400,4.8698207e-06,100.0
40196,617.0,49.79268,-101.36591,,,2022-07-16 17:35:41 -0400,4.5842594e-06,100.0
40197,617.0,49.789967,-101.456894,,,2022-07-16 17:35:41 -0400,4.47781e-06,100.0
40198,617.0,49.78699,-101.548225,,,2022-07-16 17:35:41 -0400,6.5009613e-06,100.0
40199,617.0,49.78375,-101.6398,,,2022-07-16 17:35:41 -0400,5.186201e-06,100.0
40200,617.0,49.780228,-101.7317,,,2022-07-16 17:35:41 -0400,4.8514335e-06,100.0
40201,617.0,49.776413,-101.82399,,,2022-07-16 17:35:41 -0400,4.940862e-06,74.0
40202,617.0,49.772297,-101.91655,,,2022-07-16 17:35:41 -0400,5.141915e-06,74.0
40203,617.0,49.767868,-102.00942,,,2022-07-16 17:35:41 -0400,5.1781744e-06,74.0
40204,617.0,49.763107,-102.10268,,,2022-07-16 17:35:41 -0400,5.20228e-06,100.0
40205,617.0,49.758007,-102.196175,,,2022-07-16 17:35:41 -0400,5.7318407e-06,100.0
40206,617.0,49.752552,-102.290085,,,2022-07-16 17:35:41 -0400,6.005551e-06,100.0
40207,617.0,49.746723,-102.38431,,,2022-07-16 17:35:41 -0400,5.213403e-06,100.0
40208,617.0,49.74051,-102.47886,,,2022-07-16 17:35:41 -0400,5.166533e-06,100.0
40209,617.0,49.733887,-102.57371,,,2022-07-16 17:35:41 -0400,5.2185173e-06,100.0
41432,617.0,49.211563,-100.7332,,,2022-07-16 17:35:45 -0400,5.871105e-06,74.0
41433,617.0,49.219948,-100.82225,,,2022-07-16 17:35:45 -0400,5.09366e-06,74.0
41434,617.0,49.228294,-100.911705,,,2022-07-16 17:35:45 -0400,4.7891776e-06,74.0
41435,617.0,49.236607,-101.0013,,,2022-07-16 17:35:45 -0400,4.9211258e-06,74.0
41436,617.0,49.24488,-101.091354,,,2022-07-16 17:35:45 -0400,4.811128e-06,100.0
41437,617.0,49.253117,-101.1817,,,2022-07-16 17:35:45 -0400,4.6920886e-06,74.0
41438,617.0,49.261314,-101.272316,,,2022-07-16 17:35:45 -0400,4.4071558e-06,74.0
41439,617.0,49.269478,-101.363266,,,2022-07-16 17:35:45 -0400,4.612664e-06,74.0
41440,617.0,49.277607,-101.454575,,,2022-07-16 17:35:45 -0400,5.550243e-06,74.0
41441,617.0,49.285698,-101.54611,,,2022-07-16 17:35:45 -0400,5.8582955e-06,74.0
41442,617.0,49.293755,-101.637985,,,2022-07-16 17:35:45 -0400,5.3081626e-06,74.0
41443,617.0,49.301777,-101.730255,,,2022-07-16 17:35:45 -0400,4.6946952e-06,74.0
41444,617.0,49.30976,-101.822784,,,2022-07-16 17:35:45 -0400,4.9298983e-06,74.0
41445,617.0,49.31771,-101.91563,,,2022-07-16 17:35:45 -0400,4.90153e-06,74.0
41446,617.0,49.32563,-102.00886,,,2022-07-16 17:35:45 -0400,4.7362723e-06,74.0
41447,617.0,49.33351,-102.10234,,,2022-07-16 17:35:45 -0400,5.1552524e-06,74.0
